Date,Public Holiday AG
2023-09-17 15:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 16:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 17:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 18:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 19:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 20:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 21:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 22:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 23:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-11-01 00:00:00,Allerheiligen
2023-11-01 01:00:00,Allerheiligen
2023-11-01 02:00:00,Allerheiligen
2023-11-01 03:00:00,Allerheiligen
2023-11-01 04:00:00,Allerheiligen
2023-11-01 05:00:00,Allerheiligen
2023-11-01 06:00:00,Allerheiligen
2023-11-01 07:00:00,Allerheiligen
2023-11-01 08:00:00,Allerheiligen
2023-11-01 09:00:00,Allerheiligen
2023-11-01 10:00:00,Allerheiligen
2023-11-01 11:00:00,Allerheiligen
2023-11-01 12:00:00,Allerheiligen
2023-11-01 13:00:00,Allerheiligen
2023-11-01 14:00:00,Allerheiligen
2023-11-01 15:00:00,Allerheiligen
2023-11-01 16:00:00,Allerheiligen
2023-11-01 17:00:00,Allerheiligen
2023-11-01 18:00:00,Allerheiligen
2023-11-01 19:00:00,Allerheiligen
2023-11-01 20:00:00,Allerheiligen
2023-11-01 21:00:00,Allerheiligen
2023-11-01 22:00:00,Allerheiligen
2023-11-01 23:00:00,Allerheiligen
